Métrica,count,mean,std,min,5%,25%,50%,75%,95%,max
Cmp_stats_passing_types_per90,5096.0,35.54809544732978,19.8897001212323,0.0,8.633068388729416,21.123232285044317,33.01439344235777,46.35190622746236,73.09879641652878,100.0
onG_per90,5096.0,36.03760387977413,15.714774433001944,0.0,0.0,32.83395091766906,35.679476150075615,38.14009433234506,62.10536323402941,100.0
Min%,2854.0,36.88167484232656,29.310580816016913,0.0,0.4,9.8,31.9,60.975,88.2,100.0
onxG_per90,5096.0,37.599149346987694,12.858925073092264,0.0,21.507821871651437,34.58117118858903,36.39324734687729,38.21913251094895,59.73417032793598,100.0
Cmp_stats_keeper_adv_per90,5096.0,39.41474738377324,9.518573031285232,0.0,39.00529896419957,39.00529896419957,39.00529896419957,39.00529896419957,39.00529896419957,100.00000000000001
GA_stats_keeper_adv_per90,5096.0,42.38406325460367,9.205566993234806,0.0,42.173694576682934,42.173694576682934,42.173694576682934,42.173694576682934,42.173694576682934,100.00000000000001
GA_per90,5096.0,42.38406325460367,9.205566993234806,0.0,42.173694576682934,42.173694576682934,42.173694576682934,42.173694576682934,42.173694576682934,100.00000000000001
Succ%,4187.0,44.120062096966805,26.11016498279045,0.0,0.0,30.0,43.3,56.15,100.0,100.0
PSxG_per90,5096.0,45.294295180209566,9.038404955611538,0.0,45.189211689377004,45.189211689377004,45.189211689377004,45.189211689377004,45.189211689377004,100.00000000000003
Stp_per90,5096.0,45.51782524410637,8.946126881373862,0.0,45.36671811581766,45.36671811581766,45.36671811581766,45.36671811581766,45.36671811581766,99.99999999999999
Att (GK)_per90,5096.0,45.61204795349513,9.314436671282317,0.0,45.35200135821967,45.35200135821967,45.35200135821967,45.35200135821967,45.35200135821967,100.0
Att_stats_keeper_adv_per90,5096.0,46.35151071433423,9.418605662345355,0.0,46.19089832951795,46.19089832951795,46.19089832951795,46.19089832951795,46.19089832951795,100.0
Tkld%,4187.0,46.52335801289706,26.006597143417554,0.0,0.0,33.3,48.1,60.0,100.0,100.0
SoTA_per90,5096.0,47.31008869225049,9.265876107886015,0.0,47.19808403008281,47.19808403008281,47.19808403008281,47.19808403008281,47.19808403008281,100.0
Thr_per90,5096.0,47.50959888148705,9.341563996654603,0.0,47.36097507889849,47.36097507889849,47.36097507889849,47.36097507889849,47.36097507889849,100.0
Won%,4665.0,47.95590568060021,24.89861199003979,0.0,0.0,33.3,50.0,61.5,100.0,100.0
Saves_per90,5096.0,48.66666229218831,9.114151825009321,0.0,48.71056804809892,48.71056804809892,48.71056804809892,48.71056804809892,48.71056804809892,99.99999999999999
Tkl%,4365.0,50.88272623138602,26.736901748596082,0.0,0.0,35.3,50.0,66.7,100.0,100.0
Opp_per90,5096.0,51.414306526464635,9.236487298443798,0.0,51.42602641690851,51.42602641690851,51.42602641690851,51.42602641690851,51.42602641690851,100.0
Save%,339.0,68.25309734513274,12.800966615659522,0.0,50.0,63.55,69.0,75.0,83.74999999999999,100.0
90s_stats_playing_time_per90,5096.0,70.35252311920924,9.380804420382427,0.0,68.57142857142858,71.11111111111109,71.11111111111111,71.11111111111111,73.02904564315352,100.0
Starts_stats_playing_time_per90,5096.0,71.07322438435395,21.881109125481952,0.0,0.0,76.58098630349647,77.87830004005774,77.87830004005774,87.0261147076802,100.0
Cmp%,5065.0,77.68351431391905,11.754807539274706,0.0,58.6,71.8,79.2,85.7,92.5,100.0
